Date,Close/Last,Volume,Open,High,Low,Scores
11/26/2018,69.2,39865595,65,69.244,65,0.0
11/27/2018,68.784,31735020,68.01,69.392,67.1,0.0
11/28/2018,69.574,20570190,69.198,69.656,68.442,-0.1858
11/29/2018,68.234,15380130,69.4,69.5,67.91,0.2500
11/30/2018,70.096,28105520,68.366,70.32,67.653,0.0000
12/03/2018,71.698,41479215,72,73.2,70.4,0.0
12/04/2018,71.94,42151065,71.21,73.736,70.4,0.1700
12/06/2018,72.612,39143445,71.202,73.476,70.152,0.3863
12/07/2018,71.593,57421750,73.8,75.898,71.53,0.0000
12/10/2018,73.03,32876705,72,73.196,70.624,0.0000
12/11/2018,73.352,31492360,73.982,74.4338,72.046,0.1700
12/12/2018,73.32,25098625,73.884,74.382,73.032,0.0000
12/13/2018,75.358,36740840,74.03,75.488,73.35,0.0000
12/14/2018,73.142,31638125,75,75.574,72.866,0.5719
12/17/2018,69.684,38324160,72.4,73.14,68.776,0.0000
12/18/2018,67.406,35424435,70.108,70.31,66.738,-0.0795
12/19/2018,66.594,41281870,67.52,69.402,65.948,0.0000
12/20/2018,63.076,45246945,65.4108,66.058,62.3738,0.0000
12/21/2018,63.954,39986095,63.48,64.694,62.488,0.0000
12/24/2018,59.078,27799565,62.7,62.9,59.039,-0.0954
12/26/2018,65.218,40715510,60,65.394,58.818,0.2960
12/27/2018,63.226,42836925,63.968,64.4343,60.3,-0.0566
12/28/2018,66.774,49593885,64.62,67.248,63.682,0.1012
12/31/2018,66.56,31471490,67.558,67.842,65.052,0.1133
01/02/2019,62.024,58056350,61.22,63.026,59.76,-0.1285
01/03/2019,60.072,34742885,61.4,61.88,59.476,-0.7003
01/04/2019,63.538,36913775,61.2,63.6,60.546,0.0000
01/07/2019,66.992,37711690,64.344,67.348,63.5502,0.0
01/08/2019,67.07,34972135,68.392,68.802,65.404,-0.1858
01/09/2019,67.706,27133090,67.1,68.7005,66.294,-0.6808
01/10/2019,68.994,30248105,66.88,69.078,66.358,-0.2884
01/11/2019,69.452,25175390,68.418,69.682,67.754,0.0000
01/14/2019,66.88,26163450,68.476,68.5,66.8,-0.4215
01/15/2019,68.886,30239450,67,69.76,66.9,0.0
01/16/2019,69.21,23386135,68.956,70.4,68.7,0.0
01/17/2019,69.462,18305810,69.242,70.3,68.83,0.0000
01/18/2019,60.452,120396300,64.6,65.4259,59.946,0.0416
01/22/2019,59.784,60260650,60.964,61.6,59.1,0.0000
01/23/2019,57.518,62565400,58.5,58.9,56.338,-0.0375
01/24/2019,58.302,39954555,56.606,58.736,55.8566,-0.0106
01/25/2019,59.408,35513905,58.878,59.7039,57.91,0.0836
01/28/2019,59.276,32047385,58.582,59.492,57.55,-0.3625
01/29/2019,59.492,23014665,59.054,59.7113,58.36,0.0000
01/30/2019,61.754,52970200,60.09,61.8,59.698,0.1155
01/31/2019,61.404,62725950,60.2,62.3127,58.8,0.0374
02/01/2019,62.442,36318090,61.084,63.22,60.7,0.0000
02/04/2019,62.578,36720380,62.596,63.06,60.376,-0.0745
02/05/2019,64.27,33673695,62.498,64.488,62.4499,0.0
02/06/2019,63.444,25156840,63.918,64.848,63.1248,0.0326
02/07/2019,61.502,32559150,62.66,62.94,60.6,0.0
02/08/2019,61.16,29175390,61.366,61.489,59.7,-0.2960
02/11/2019,62.568,35570060,62.32,63.72,62.1,-0.2047
02/12/2019,62.362,27427095,63.24,63.638,61.924,0.1779
02/13/2019,61.634,25651990,62.47,62.55,61.114,0.1342
02/14/2019,60.754,25954435,60.676,61.354,60.2,0.0000
02/15/2019,61.576,19479075,60.9,61.6,60.78,0.1012
02/19/2019,61.128,20602600,61.312,62.3088,61.094,0.2960
02/20/2019,60.512,35664845,60.882,61.26,59.8,0.0674
02/21/2019,58.246,44404150,60.362,60.648,58.1,0.3298
02/22/2019,58.942,28656900,58.898,59.3,58.42,0.0000
02/25/2019,59.754,31068505,59.582,60.5809,59.4001,-0.6609
02/26/2019,59.572,42858045,58.444,60.402,57.754,-0.5317
02/27/2019,62.948,55720500,60.356,63.259,60.11,0.0000
02/28/2019,63.976,48331120,63.784,64,62.162,0.0061
03/01/2019,58.958,114243750,61.388,61.426,58.38,0.1422
03/04/2019,57.072,85344450,59.624,59.8,56.556,0.1147
03/05/2019,55.308,93649000,56.4,56.8,54.02,0.1589
03/06/2019,55.248,51596850,55.296,56.3012,54.878,-0.0390
